API_Name,API_LM_Coeff,API_LM_Interc,API_PNEC_gL,Population_Scenario,Year,WWTP_Removal_Scenario,[MEAN](Norway_Population_mil),[MEAN](API_Sales_Weight_kg),[MEAN](Water_Consumption_ML),[MEAN](PEC_Inf_gL),[MEAN](PEC_Eff_gL),[MEAN](PEC_SW_gL),[MEAN](RQ),P(RQ=0-0.01),P(RQ=0.01-0.1),P(RQ=0.1-1),P(RQ=1-10),P(RQ=10-100),P(RQ=100-1000),P(RQ=1000-10000),P(RQ=10000-100000),P(RQ=100000-inf)
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Main,2080,0.9 - 0.95,6.5,40960,1176,0.28313,0.04942,0.005,60628.41067,0,0,0,0,0,0.01639,0.06466,0.70291,0.21604
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Main,2080,0.95 - 0.99,6.5,40960,1176,0.28313,0.04145,0.00419,51023.28964,0,0,0,0,0,0.13767,0.09326,0.58826,0.1808
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Main,2090,0 - 0.001,6.5,40960,1176,0.28313,0.2807,0.0281,79473.15159,0,0,0,0,0,0,0.03278,0.38732,0.57991
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Main,2090,0.001 - 0.9,6.5,40960,1176,0.28313,0.24019,0.02405,76384.92331,0,0,0,0,0,0,0.03771,0.44559,0.5167
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Main,2090,0.9 - 0.95,6.5,40960,1176,0.28313,0.04942,0.005,60628.41067,0,0,0,0,0,0.01639,0.06466,0.70291,0.21604
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Main,2090,0.95 - 0.99,6.5,40960,1176,0.28313,0.04145,0.00419,51023.28964,0,0,0,0,0,0.13767,0.09326,0.58826,0.1808
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Main,2100,0 - 0.001,6.5,40960,1176,0.28313,0.2807,0.0281,79473.15159,0,0,0,0,0,0,0.03278,0.38732,0.57991
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Main,2100,0.001 - 0.9,6.5,40960,1176,0.28313,0.24019,0.02405,76384.92331,0,0,0,0,0,0,0.03771,0.44559,0.5167
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Main,2100,0.9 - 0.95,6.5,40960,1176,0.28313,0.04942,0.005,60628.41067,0,0,0,0,0,0.01639,0.06466,0.70291,0.21604
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,Main,2100,0.95 - 0.99,6.5,40960,1176,0.28313,0.04145,0.00419,51023.28964,0,0,0,0,0,0.13767,0.09326,0.58826,0.1808
ciprofloxacin,0.80278943863306,-3199814.8866315116,5e-9,High,2020,0 - 0.001,5.5,10240,1000,0.055,0.0505,0.0051,98416,0,0,0,0,0,0,0,0.0352,0.9648
ciprofloxacin,0.80278943863306,-3199814.8866315116,5e-9,High,2020,0.001 - 0.9,5.5,10240,1000,0.055,0.0505,0.0051,98416,0,0,0,0,0,0,0,0.0352,0.9648
