API_Name,API_LM_Coeff,API_LM_Interc,API_PNEC_gL,Population_Scenario,Year,WWTP_Removal_Scenario,[MEAN](Norway_Population_mil),[MEAN](API_Sales_Weight_kg),[MEAN](Water_Consumption_ML),[MEAN](PEC_Inf_gL),[MEAN](PEC_Eff_gL),[MEAN](PEC_SW_gL),[MEAN](RQ),P(RQ=0-0.01),P(RQ=0.01-0.1),P(RQ=0.1-1),P(RQ=1-10),P(RQ=10-100),P(RQ=100-1000),P(RQ=1000-10000),P(RQ=10000-100000),P(RQ=100000-inf)
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2090,0-0.25,8.5,10240,1590,0.04807,0.05039,0.00509,61791.54717,0,0,0,0,0,0.0017,0.0612,0.71679,0.22031
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2090,0.25-0.5,8.5,10240,1590,0.04807,0.05002,0.00506,61346.53282,0,0,0,0,0,0.00732,0.06253,0.71148,0.21867
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2090,0.5-0.75,8.5,10240,1590,0.04807,0.04912,0.00496,60267.71016,0,0,0,0,0,0.02094,0.06574,0.6986,0.21472
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2090,0.75-1,8.5,10240,1590,0.04807,0.04113,0.00416,50616.47328,0,0,0.00005,0.00046,0.01317,0.13304,0.09012,0.58374,0.17941
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2100,0-0.25,9.5,10240,1750,0.04581,0.05035,0.00509,61747.66453,0,0,0,0,0,0.00226,0.06133,0.71627,0.22014
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2100,0.25-0.5,9.5,10240,1750,0.04581,0.04986,0.00504,61157.83747,0,0,0,0,0,0.0097,0.06309,0.70923,0.21798
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2100,0.5-0.75,9.5,10240,1750,0.04581,0.04868,0.00492,59727.95369,0,0,0,0,0,0.02776,0.06735,0.69216,0.21274
amoxicillin,2.1521384793006946,-8378750.3110827645,7.8e-8,High,2100,0.75-1,9.5,10240,1750,0.04581,0.03967,0.00401,48850.13056,0,0,0.00007,0.00061,0.01627,0.15301,0.09434,0.56274,0.17296
ciprofloxacin,0.80278943863306,-3199814.8866315116,5e-9,Low,2020,0-0.25,5.5,2022.4,970,0.0144,0.04795,0.00485,94946.00567,0,0,0,0,0,0.00204,0.02304,0.05942,0.9155
ciprofloxacin,0.80278943863306,-3199814.8866315116,5e-9,Low,2020,0.25-0.5,5.5,2022.4,970,0.0144,0.04589,0.00464,92218.90533,0,0,0,0,0,0.00278,0.04131,0.08003,0.87588
