Municipality,Pop_Connected_WWTP_>50PE,Pop_Connected_WWTP_>50PE_Chem_Treat,Pop_Connected_WWTP_>50PE_BioChem_Treat,Pop_Connected_WWTP_>50PE_BioChemMechNat_Treat,Pop_Connected_WWTP_>50PE_No_Treat
1851 Lødingen,95,NA,NA,NA,95
1853 Evenes,1468,NA,NA,673,795
1856 Røst,152,NA,NA,152,NA
1859 Flakstad,418,NA,NA,198,220
1860 Vestvågøy,5855,NA,NA,700,5155
1865 Vågan,3825,NA,NA,1184,2641
1866 Hadsel,5388,NA,NA,2758,2630
1867 Bø,1176,NA,NA,NA,1176
1868 Øksnes,2807,NA,NA,1665,1142
1870 Sortland,9940,NA,NA,4640,5300
1871 Andøy,2698,NA,NA,NA,2698
1874 Moskenes,445,NA,NA,445,NA
1875 Hamarøy,929,NA,NA,709,220
5401 Tromsø,101236,NA,NA,101236,NA
5402 Harstad,20365,NA,NA,20275,90
5403 Alta,18525,NA,NA,17963,562
5404 Vardø,2314,NA,NA,NA,2314
5405 Vadsø,6363,NA,NA,2603,3760
5406 Hammerfest,10356,132,NA,10224,NA
5411 Kvæfjord,1980,NA,NA,1830,150
5412 Tjeldsund,2303,NA,125,1478,700
5413 Ibestad,440,NA,NA,NA,440
5414 Gratangen,750,80,20,650,NA
5415 Loabák - Lavangen,300,NA,NA,NA,300
5416 Bardu,2626,NA,NA,2626,NA
5417 Salangen,1499,NA,NA,1499,NA
5418 Målselv,8079,3615,4000,464,NA
5419 Sørreisa,932,NA,NA,932,NA
5420 Dyrøy,407,NA,NA,NA,407
5421 Senja,8943,NA,321,4897,3725
5422 Balsfjord,1965,NA,NA,1965,NA
5423 Karlsøy,618,NA,NA,192,426
5424 Lyngen,1125,NA,NA,1125,NA
5425 Storfjord - Omasvuotna - Omasvuono,508,91,NA,NA,417
5426 Gáivuotna - Kåfjord - Kaivuono,1377,NA,22,500,855
5427 Skjervøy,2644,NA,NA,2517,127
5428 Nordreisa,2776,NA,NA,2776,NA
5429 Kvænangen,356,NA,NA,350,6
5430 Guovdageaidnu-Kautokeino,2103,NA,2103,NA,NA
5432 Loppa,600,NA,NA,NA,600
5433 Hasvik,920,NA,NA,NA,920
5434 Måsøy,817,NA,NA,NA,817
5435 Nordkapp,1970,NA,NA,NA,1970
5436 Porsanger - Porsáŋgu - Porsanki ,2399,NA,NA,2399,NA
5437 Kárášjohka-Karasjok,2489,NA,2489,NA,NA
5438 Lebesby,125,NA,NA,125,NA
5439 Gamvik,1096,NA,NA,50,1046
5440 Berlevåg,962,NA,NA,NA,962
5441 Deatnu-Tana,1119,NA,1119,NA,NA
5442 Unjárga-Nesseby,580,NA,NA,580,NA
5443 Båtsfjord,2475,NA,NA,NA,2475
5444 Sør-Varanger,9352,NA,NA,9352,NA
